Genome	SSU	Copy ratio	Organism	Species	Strain	
GCA_002009115	SSU_1	6	Acinetobacter baumannii	Acinetobacter baumannii	AB34299
GCA_002009155	SSU_2:SSU_1:SSU_3	5:1:1	Salmonella enterica subsp. enterica serovar Typhimurium	Salmonella enterica	RM10607
GCA_002009175	SSU_1:SSU_2	5:1	Streptomyces niveus	Streptomyces niveus	SCSIO 3406
GCA_002009195	SSU_4:SSU_2:SSU_3:SSU_5:SSU_1:SSU_6:SSU_7	5:2:2:1:1:1:1	Bacillus megaterium	Bacillus megaterium	JX285
GCA_002009215	SSU_1:SSU_2	1:1	Mycoplasma capricolum subsp. capripneumoniae	Mycoplasma capricolum	zly1309F
GCA_002009235	SSU_5:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	2:1:1:1:1:1:1:1	Planococcus faecalis	Planococcus faecalis	AJ003
GCA_002009255	SSU_1:SSU_2:SSU_3	3:2:1	Halomonas sp. 'Soap Lake #7'	Halomonas sp.	Soap Lake #7
GCA_002009275	SSU_1:SSU_2	1:1	Mycoplasma bovis	Mycoplasma bovis	08M
GCA_002009295	SSU_1:SSU_2:SSU_3	3:1:1	Komagataeibacter nataicola	Komagataeibacter nataicola	RZS01
GCA_002009315	SSU_4:SSU_1:SSU_2:SSU_3	4:1:1:1	Escherichia coli	Escherichia coli	MDR_56
GCA_002009335	SSU_2:SSU_1	2:1	Desulfococcus multivorans	Desulfococcus multivorans	DSM 2059
GCA_002009355	SSU_1	1	Candidatus Carsonella ruddii	Candidatus Carsonella	BC
GCA_002009375	SSU_1	4	Leuconostoc mesenteroides subsp. mesenteroides	Leuconostoc mesenteroides	DRC0211
GCA_002009385	SSU_1:SSU_2	3:1	Corynebacterium pseudotuberculosis	Corynebacterium pseudotuberculosis	phoP
GCA_002009415	SSU_1	4	Corynebacterium pseudotuberculosis	Corynebacterium pseudotuberculosis	MIC6
GCA_002009425	SSU_1	1	Chromatiaceae bacterium 2141T.STBD.0c.01a	Chromatiaceae bacterium	2141T.STBD.0c.01a
GCA_002011925	SSU_2:SSU_1	4:1	Cupriavidus necator	Cupriavidus necator	NH9
GCA_002011945	SSU_5:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1	Escherichia coli	Escherichia coli	Ecol_224
GCA_002011965	SSU_5:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1	Escherichia coli	Escherichia coli	Ecol_276
GCA_002011985	SSU_5:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1	Escherichia coli	Escherichia coli	Ecol_316
GCA_002012005	SSU_2:SSU_1:SSU_3	4:2:1	Escherichia coli	Escherichia coli	Ecol_517
GCA_002012025	SSU_4:SSU_5:SSU_1:SSU_2:SSU_6:SSU_3	2:1:1:1:1:1	Escherichia coli	Escherichia coli	Ecol_542
GCA_002012045	SSU_5:SSU_1:SSU_2:SSU_6:SSU_3:SSU_4	2:1:1:1:1:1	Escherichia coli	Escherichia coli	Ecol_545
GCA_002012065	SSU_3:SSU_5:SSU_1:SSU_2:SSU_4	3:1:1:1:1	Escherichia coli	Escherichia coli	Ecol_656
GCA_002012085	SSU_3:SSU_5:SSU_1:SSU_2:SSU_4	3:1:1:1:1	Escherichia coli	Escherichia coli	Ecol_AZ146
GCA_002012105	SSU_6:SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	2:1:1:1:1:1	Escherichia coli	Escherichia coli	Ecol_AZ147
GCA_002012125	SSU_4:SSU_5:SSU_1:SSU_2:SSU_3	3:1:1:1:1	Escherichia coli	Escherichia coli	Ecol_AZ155
GCA_002012145	SSU_5:SSU_1:SSU_2:SSU_6:SSU_3:SSU_4	2:1:1:1:1:1	Escherichia coli	Escherichia coli	Ecol_AZ159
GCA_002012165	SSU_4:SSU_5:SSU_1:SSU_2:SSU_6:SSU_3	2:1:1:1:1:1	Escherichia coli	Escherichia coli	Ecol_AZ162
GCA_002012185	SSU_5:SSU_1:SSU_2:SSU_6:SSU_3:SSU_4	2:1:1:1:1:1	Escherichia coli	Escherichia coli	Ecol_422
GCA_002012205	SSU_4:SSU_5:SSU_1:SSU_2:SSU_3	3:1:1:1:1	Escherichia coli	Escherichia coli	Ecol_867
GCA_002012225	SSU_1:SSU_2:SSU_3	3:3:1	Escherichia coli	Escherichia coli	Ecol_881
GCA_002012245	SSU_3:SSU_5:SSU_1:SSU_2:SSU_4	3:1:1:1:1	Escherichia coli	Escherichia coli	Ecol_AZ153
GCA_002012265	SSU_4:SSU_5:SSU_1:SSU_2:SSU_6:SSU_3	2:1:1:1:1:1	Escherichia coli	Escherichia coli	Ecol_AZ161
GCA_002012285	SSU_1	6	Acinetobacter pittii	Acinetobacter pittii	YMC2010/8/T346
GCA_002012305	SSU_1:SSU_5:SSU_2:SSU_3:SSU_4	3:1:1:1:1	Escherichia coli	Escherichia coli	Ecol_244
GCA_002012365	SSU_2:SSU_1	4:2	Streptococcus thermophilus	Streptococcus thermophilus	APC151
GCA_002018515	SSU_1	3	Bordetella pertussis	Bordetella pertussis	J105
GCA_002021755	SSU_11:SSU_5:SSU_9:SSU_8:SSU_10:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	2:1:1:1:1:1:1:1:1:1:1	Vibrio owensii	Vibrio owensii	XSBZ03
GCA_002021775	SSU_1	1	Dehalococcoides mccartyi	Dehalococcoides mccartyi	KBDCA3
GCA_002021795	SSU_1	3	Bordetella pertussis	Bordetella pertussis	Pelita III
GCA_002021815	SSU_1:SSU_3:SSU_5:SSU_2:SSU_4	2:2:1:1:1	Pseudomonas parafulva	Pseudomonas parafulva	PRS09-11288
GCA_002021875	SSU_2:SSU_1	5:1	Streptomyces hygroscopicus	Streptomyces hygroscopicus	XM201
GCA_002021925	SSU_1	3	Campylobacter pinnipediorum subsp. pinnipediorum	Campylobacter pinnipediorum	RM17260
GCA_002021945	SSU_1	3	Campylobacter pinnipediorum subsp. pinnipediorum	Campylobacter pinnipediorum	RM17261
GCA_002021965	SSU_1	3	Campylobacter pinnipediorum subsp. pinnipediorum	Campylobacter pinnipediorum	RM17262
GCA_002021985	SSU_1	3	Campylobacter pinnipediorum subsp. caledonicus	Campylobacter pinnipediorum	RM18020
GCA_002022005	SSU_1	3	Campylobacter pinnipediorum subsp. caledonicus	Campylobacter pinnipediorum	RM18021
GCA_002022025	SSU_2:SSU_1	4:1	Elizabethkingia anophelis	Elizabethkingia anophelis	422
GCA_002022045	SSU_1	5	Elizabethkingia anophelis	Elizabethkingia anophelis	JM-87
GCA_002022065	SSU_1	5	Elizabethkingia anophelis	Elizabethkingia anophelis	3375
GCA_002022085	SSU_1	5	Elizabethkingia anophelis	Elizabethkingia anophelis	F3201
GCA_002022105	SSU_2:SSU_1	3:1	Elizabethkingia meningoseptica	Elizabethkingia meningoseptica	G4076
GCA_002022125	SSU_1:SSU_2:SSU_3:SSU_4	2:1:1:1	Elizabethkingia ursingii	Elizabethkingia ursingii	G4123
GCA_002022145	SSU_1	4	Elizabethkingia meningoseptica	Elizabethkingia meningoseptica	G4120
GCA_002022225	SSU_1	2	Tessaracoccus sp. T2.5-30	Tessaracoccus sp.	T2.5-30
GCA_002022485	SSU_1	2	Bartonella sp. A1379B	Bartonella sp.	A1379B
GCA_002022505	SSU_1	2	Bartonella sp. WD16.2	Bartonella sp.	WD16.2
GCA_002022585	SSU_2:SSU_1	2:1	Bartonella sp. Raccoon60	Bartonella sp.	Raccoon60
GCA_002022605	SSU_1	2	Bartonella sp. JB15	Bartonella sp.	JB15
GCA_002022665	SSU_1	2	Bartonella sp. JB63	Bartonella sp.	JB63
GCA_002022745	SSU_1	4	Neisseria lactamica	Neisseria lactamica	Y92-1009
GCA_002023005	SSU_1	2	Xanthomonas oryzae pv. oryzae	Xanthomonas oryzae	XF89b
GCA_002023235	SSU_1	5	Elizabethkingia anophelis	Elizabethkingia anophelis	E6809
GCA_002023665	SSU_1	5	Elizabethkingia anophelis R26	Elizabethkingia anophelis	R26
GCA_002024185	SSU_1	3	Campylobacter coli	Campylobacter coli	aerotolerant OR12
GCA_002024205	SSU_1	1	Dehalococcoides mccartyi	Dehalococcoides mccartyi	KBVC2
GCA_002024225	SSU_1	1	Dehalococcoides mccartyi	Dehalococcoides mccartyi	KBVC1
GCA_002024245	SSU_5:SSU_1:SSU_2:SSU_6:SSU_3:SSU_4	1:1:1:1:1:1	Enterococcus faecium	Enterococcus faecium	2014-VREF-114
GCA_002024265	SSU_1:SSU_5:SSU_9:SSU_8:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	3:2:1:1:1:1:1:1:1	Bacillus flexus	Bacillus flexus	KLBMP 4941
GCA_002024285	SSU_1:SSU_2	4:1	Pseudomonas syringae pv. actinidiae	Pseudomonas syringae	CRAFRU 12.29
GCA_002024305	SSU_1:SSU_2	4:1	Pseudomonas syringae pv. actinidiae	Pseudomonas syringae	CRAFRU 14.08
GCA_002024325	SSU_1	3	Campylobacter jejuni	Campylobacter jejuni	NCTC12662
GCA_002024345	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1:1	Corynebacterium stationis	Corynebacterium stationis	LMG 21670
GCA_002024805	SSU_1:SSU_2	4:1	Elizabethkingia bruuniana	Elizabethkingia bruuniana	G0146
GCA_002024825	SSU_1	5	Elizabethkingia anophelis	Elizabethkingia anophelis	F3543
GCA_002024845	SSU_3:SSU_1:SSU_2:SSU_4	2:1:1:1	Lactobacillus plantarum	Lactobacillus plantarum	CLP0611
GCA_002024865	SSU_5:SSU_3:SSU_1:SSU_2:SSU_4	2:2:1:1:1	Escherichia coli NU14	Escherichia coli	NU14
GCA_002025005	SSU_1	7	Streptococcus agalactiae	Streptococcus agalactiae	Sag158
GCA_002025025	SSU_2:SSU_1:SSU_3	5:1:1	Streptococcus agalactiae	Streptococcus agalactiae	Sag37
GCA_002025045	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	2:1:1:1:1	Enterococcus faecium	Enterococcus faecium	2014-VREF-268
GCA_002025065	SSU_2:SSU_4:SSU_1:SSU_3	2:2:1:1	Enterococcus faecium	Enterococcus faecium	2014-VREF-63
GCA_002025105	SSU_5:SSU_6:SSU_9:SSU_8:SSU_1:SSU_2:SSU_7:SSU_3:SSU_4	4:2:1:1:1:1:1:1:1	Bacillus thuringiensis	Bacillus thuringiensis	L-7601
GCA_002025125	SSU_1	6	Staphylococcus aureus	Staphylococcus aureus	08S00974
GCA_002025145	SSU_2:SSU_5:SSU_1:SSU_3:SSU_4	2:1:1:1:1	Staphylococcus aureus subsp. aureus	Staphylococcus aureus	ATCC 6538
GCA_002025165	SSU_2:SSU_1:SSU_3	4:1:1	Listeria monocytogenes	Listeria monocytogenes	LI0521
GCA_002025185	SSU_1	3	Riemerella anatipestifer	Riemerella anatipestifer	HXb2
GCA_002025205	SSU_4:SSU_5:SSU_1:SSU_2:SSU_3	2:1:1:1:1	Pseudomonas sp. CC6-YY-74	Pseudomonas sp.	CC6-YY-74
GCA_002025225	SSU_4:SSU_1:SSU_2:SSU_3	5:1:1:1	Citrobacter werkmanii	Citrobacter werkmanii	BF-6
GCA_002025605	SSU_1:SSU_2	2:2	Stenotrophomonas maltophilia	Stenotrophomonas maltophilia	AA1
GCA_002025625	SSU_2:SSU_1	4:1	Ochrobactrum pituitosum	Ochrobactrum pituitosum	AA2
GCA_002025645	SSU_1:SSU_2	2:1	Curtobacterium pusillum	Curtobacterium pusillum	AA3
GCA_002025665	SSU_1:SSU_2	5:1	Chryseobacterium indologenes	Chryseobacterium indologenes	AA5
GCA_002025685	SSU_3:SSU_5:SSU_1:SSU_2:SSU_6:SSU_7:SSU_4	2:1:1:1:1:1:1	Enterobacter ludwigii	Enterobacter ludwigii	AA4
GCA_002025705	SSU_1:SSU_2	6:1	Pseudomonas putida	Pseudomonas putida	AA7
GCA_002025725	SSU_1:SSU_2	2:1	Herbaspirillum robiniae	Herbaspirillum robiniae	AA6
GCA_002028285	SSU_1	1	Dehalococcoides mccartyi	Dehalococcoides mccartyi	KBTCE1
GCA_002028305	SSU_1	3	Campylobacter jejuni subsp. jejuni	Campylobacter jejuni	ATCC 35925
GCA_002028325	SSU_4:SSU_5:SSU_1:SSU_2:SSU_3	2:1:1:1:1	Pseudomonas veronii	Pseudomonas veronii	R02
GCA_002028345	SSU_1	1	Spiroplasma eriocheiris CCTCC M 207170	Spiroplasma eriocheiris	CCTCC M 207170
GCA_002028365	SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1	Lactobacillus plantarum	Lactobacillus plantarum	KLDS1.0391
GCA_002028385	SSU_2:SSU_1	6:1	Streptomyces sp. 3211	Streptomyces sp.	3211
GCA_002028405	SSU_1	1	Thiomonas intermedia	Thiomonas intermedia	ATCC 15466
GCA_002037565	SSU_1	4	Pseudomonas sp. LPH1	Pseudomonas sp.	LPH1
GCA_002043005	SSU_1	2	Martelella mediterranea DSM 17316	Martelella mediterranea	MACL11
GCA_002043025	SSU_5:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1	Paenibacillus larvae subsp. pulvifaciens	Paenibacillus larvae	CCM 38
GCA_002043045	SSU_2:SSU_1:SSU_3:SSU_4	3:1:1:1	Listeria monocytogenes	Listeria monocytogenes	ICDC-LM188
GCA_002055515	SSU_1	6	Acinetobacter calcoaceticus	Acinetobacter calcoaceticus	CA16
GCA_002055565	SSU_2:SSU_1:SSU_3	4:1:1	Glaesserella parasuis	Glaesserella parasuis	CL120103
GCA_002055605	SSU_3:SSU_1:SSU_2:SSU_4	3:2:1:1	Escherichia coli	Escherichia coli	13E0725
GCA_002055635	SSU_2:SSU_5:SSU_1:SSU_3:SSU_4	3:1:1:1:1	Escherichia coli	Escherichia coli	AR_0118
GCA_002055685	SSU_5:SSU_1:SSU_2:SSU_6:SSU_3:SSU_4	2:1:1:1:1:1	Proteus mirabilis	Proteus mirabilis	AR_0059
GCA_002055735	SSU_5:SSU_6:SSU_1:SSU_2:SSU_3:SSU_4	2:2:1:1:1:1	Enterobacter cloacae	Enterobacter cloacae	AR_0065
GCA_002055765	SSU_4:SSU_3:SSU_5:SSU_1:SSU_2	3:2:1:1:1	Klebsiella pneumoniae	Klebsiella pneumoniae	AR_0117
GCA_002055855	SSU_1:SSU_5:SSU_2:SSU_3:SSU_4	4:1:1:1:1	Klebsiella pneumoniae	Klebsiella pneumoniae	AR_0068
GCA_002055965	SSU_5:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	3:1:1:1:1:1:1:1	Bacillus subtilis	Bacillus subtilis	NCIB 3610
GCA_002056065	SSU_2:SSU_5:SSU_1:SSU_6:SSU_3:SSU_4	2:1:1:1:1:1	Escherichia coli	Escherichia coli	AR_0061
GCA_002056145	SSU_4:SSU_5:SSU_1:SSU_2:SSU_6:SSU_3	2:1:1:1:1:1	Escherichia coli	Escherichia coli	AR_0069
GCA_002056295	SSU_1	3	Pseudomonas sp. S-6-2	Pseudomonas sp.	S-6-2
GCA_002056385	SSU_5:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1	Klebsiella pneumoniae	Klebsiella pneumoniae	AR_0115
GCA_002056475	SSU_5:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1	Klebsiella pneumoniae	Klebsiella pneumoniae	AR_0098
GCA_002056635	SSU_5:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1	Escherichia coli	Escherichia coli	AR_0104
GCA_002056725	SSU_1	5	Comamonas kerstersii	Comamonas kerstersii	8943
GCA_002056795	SSU_2:SSU_1	2:1	Spirosoma aerolatum	Spirosoma aerolatum	KACC 17939
GCA_002057245	SSU_3:SSU_1:SSU_2:SSU_4	3:2:1:1	Escherichia coli	Escherichia coli	13E0780
GCA_002057355	SSU_5:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1	Escherichia coli	Escherichia coli	13E0767
GCA_002057455	SSU_1:SSU_2:SSU_3:SSU_4	2:1:1:1	Nonomuraea sp. ATCC 55076	Nonomuraea sp.	ATCC 55076
GCA_002057535	SSU_5:SSU_9:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1:1	Bacillus velezensis	Bacillus velezensis	sx01604
GCA_002058765	SSU_3:SSU_5:SSU_1:SSU_2:SSU_6:SSU_4	2:1:1:1:1:1	Escherichia coli	Escherichia coli	DSM 103246
GCA_002059225	SSU_1	6	Pasteurella multocida subsp. multocida	Pasteurella multocida	CIRMBP-0884
GCA_002067135	SSU_2:SSU_1	2:1	Spirosoma rigui	Spirosoma rigui	KCTC 12531
GCA_002068115	SSU_5:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1	Pectobacterium carotovorum subsp. brasiliense	Pectobacterium carotovorum	SX309
GCA_002068135	SSU_1:SSU_2:SSU_3	2:2:1	Pseudomonas amygdali pv. lachrymans	Pseudomonas amygdali	NM002
GCA_002068155	SSU_5:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1	Bacillus paralicheniformis	Bacillus paralicheniformis	MDJK30
GCA_002068175	SSU_2:SSU_1:SSU_3	6:1:1	Pasteurella multocida subsp. septica	Pasteurella multocida	CIRMBP-0873
GCA_002068675	SSU_1	3	Bordetella pertussis	Bordetella pertussis	J152
GCA_002068975	SSU_1	3	Bordetella pertussis	Bordetella pertussis	J175
GCA_002069155	SSU_1	3	Bordetella pertussis	Bordetella pertussis	J276
GCA_002072065	SSU_6:SSU_5:SSU_9:SSU_8:SSU_1:SSU_2:SSU_7:SSU_3:SSU_4	2:1:1:1:1:1:1:1:1	Geobacillus thermodenitrificans	Geobacillus thermodenitrificans	KCTC3902
GCA_002072655	SSU_1:SSU_3:SSU_5:SSU_2:SSU_6:SSU_4	2:2:1:1:1:1	Klebsiella oxytoca	Klebsiella oxytoca	AR_0147
GCA_002072695	SSU_5:SSU_9:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1:1	Bacillus velezensis	Bacillus velezensis	JTYP2
GCA_002072715	SSU_2:SSU_1	3:1	Corynebacterium pseudotuberculosis	Corynebacterium pseudotuberculosis	SigmaE
GCA_002072735	SSU_8:SSU_5:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	3:1:1:1:1:1:1:1	Bacillus subtilis	Bacillus subtilis	GQJK2
GCA_002072755	SSU_5:SSU_1:SSU_2:SSU_6:SSU_3:SSU_4	1:1:1:1:1:1	Staphylococcus sciuri	Staphylococcus sciuri	SNUDS-18
GCA_002072775	SSU_1	1	Mycobacterium tuberculosis	Mycobacterium tuberculosis	MTB1
GCA_002072815	SSU_1	2	Alcanivorax xenomutans	Alcanivorax xenomutans	P40
GCA_002073215	SSU_1	4	Moraxella catarrhalis	Moraxella catarrhalis	FDAARGOS_213
GCA_002073235	SSU_1:SSU_2	2:2	Neisseria meningitidis	Neisseria meningitidis	FDAARGOS_214
GCA_002073255	SSU_1	6	Pasteurella multocida	Pasteurella multocida	FDAARGOS_218
GCA_002073275	SSU_1	4	Neisseria meningitidis	Neisseria meningitidis	FDAARGOS_215
GCA_002073295	SSU_2:SSU_4:SSU_1:SSU_3	2:2:1:1	Pasteurella multocida	Pasteurella multocida	FDAARGOS_216
GCA_002073315	SSU_2:SSU_3:SSU_1	4:2:1	Yersinia sp. FDAARGOS_228	Yersinia sp.	FDAARGOS_228
GCA_002073335	SSU_5:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	2:1:1:1:1:1:1:1	Vibrio cholerae	Vibrio cholerae	FDAARGOS_223
GCA_002073355	SSU_1:SSU_2	2:2	Streptococcus intermedius	Streptococcus intermedius	FDAARGOS_233
GCA_002073375	SSU_1	5	Corynebacterium diphtheriae	Corynebacterium diphtheriae	FDAARGOS_197
GCA_002073395	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1:1	Staphylococcus lugdunensis	Staphylococcus lugdunensis	FDAARGOS_222
GCA_002073415	SSU_3:SSU_5:SSU_4:SSU_1:SSU_2:SSU_6	5:3:3:1:1:1	Bacillus sp. FDAARGOS_235	Bacillus sp.	FDAARGOS_235
GCA_002073435	SSU_2:SSU_1	3:1	Streptococcus gordonii	Streptococcus gordonii	FDAARGOS_257
GCA_002073455	SSU_1	4	Legionella longbeachae	Legionella longbeachae	FDAARGOS_201
GCA_002073475	SSU_2:SSU_1	5:1	Haemophilus influenzae	Haemophilus influenzae	FDAARGOS_199
GCA_002073495	SSU_1	2	Leptospira interrogans serovar Copenhageni	Leptospira interrogans	FDAARGOS_203
GCA_002073515	SSU_1:SSU_2	3:3	Streptococcus equinus	Streptococcus equinus	FDAARGOS_251
GCA_002073535	SSU_1	4	Neisseria gonorrhoeae	Neisseria gonorrhoeae	FDAARGOS_204
GCA_002073555	SSU_1	4	Neisseria meningitidis	Neisseria meningitidis	FDAARGOS_211
GCA_002073575	SSU_1	4	Neisseria meningitidis	Neisseria meningitidis	FDAARGOS_209
GCA_002073595	SSU_1	4	Neisseria meningitidis	Neisseria meningitidis	FDAARGOS_210
GCA_002073615	SSU_2:SSU_1	3:1	Neisseria gonorrhoeae	Neisseria gonorrhoeae	FDAARGOS_205
GCA_002073635	SSU_1	3	Paracoccus yeei	Paracoccus yeei	FDAARGOS_252
GCA_002073655	SSU_1	4	Neisseria gonorrhoeae	Neisseria gonorrhoeae	FDAARGOS_207
GCA_002073675	SSU_1	4	Neisseria meningitidis	Neisseria meningitidis	FDAARGOS_212
GCA_002073695	SSU_1	7	Streptococcus agalactiae	Streptococcus agalactiae	FDAARGOS_254
GCA_002073715	SSU_1:SSU_2	3:1	Neisseria sicca	Neisseria sicca	FDAARGOS_260
GCA_002073735	SSU_5:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	5:1:1:1:1:1:1:1	Clostridioides difficile	Clostridioides difficile	FDAARGOS_267
GCA_002073755	SSU_5:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1	Citrobacter braakii	Citrobacter braakii	FDAARGOS_253
GCA_002073775	SSU_9:SSU_8:SSU_4:SSU_5:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3	2:2:2:1:1:1:1:1:1	Vibrio parahaemolyticus	Vibrio parahaemolyticus	FDAARGOS_191
GCA_002073795	SSU_3:SSU_2:SSU_1	4:2:1	Streptococcus sp. 'group B'	Streptococcus sp.	FDAARGOS_229
GCA_002073815	SSU_3:SSU_2:SSU_1	3:2:1	Streptococcus sp. FDAARGOS_192	Streptococcus sp.	FDAARGOS_192
GCA_002073835	SSU_1	6	Streptococcus salivarius	Streptococcus salivarius	FDAARGOS_259
GCA_002073975	SSU_1	3	Rhodovulum sp. MB263	Rhodovulum sp.	MB263
GCA_002073995	SSU_5:SSU_9:SSU_8:SSU_10:SSU_1:SSU_2:SSU_11:SSU_6:SSU_7:SSU_3:SSU_12:SSU_4	1:1:1:1:1:1:1:1:1:1:1:1	Vibrio coralliilyticus	Vibrio coralliilyticus	SNUTY-1
GCA_002074035	SSU_1	2	Candidatus Riesia sp. GBBU	Candidatus Riesia	GBBU
GCA_002074055	SSU_1	2	Frondihabitans sp. 762G35	Frondihabitans sp.	762G35
GCA_002074075	SSU_2:SSU_5:SSU_1:SSU_6:SSU_7:SSU_3:SSU_4	2:1:1:1:1:1:1	Bacillus licheniformis	Bacillus licheniformis	SCK B11
GCA_002074095	SSU_5:SSU_1:SSU_3:SSU_2:SSU_4	2:2:2:1:1	Bacillus licheniformis	Bacillus licheniformis	SCDB 14
GCA_002074115	SSU_3:SSU_5:SSU_1:SSU_2:SSU_6:SSU_7:SSU_4	2:1:1:1:1:1:1	Bacillus licheniformis	Bacillus licheniformis	SCDB 34
GCA_002074135	SSU_2:SSU_5:SSU_1:SSU_6:SSU_7:SSU_3:SSU_4	2:1:1:1:1:1:1	Bacillus licheniformis	Bacillus licheniformis	SCCB 37
GCA_002074155	SSU_1:SSU_2:SSU_5:SSU_8:SSU_6:SSU_7:SSU_3:SSU_4	2:2:1:1:1:1:1:1	Clostridium argentinense	Clostridium argentinense	89G
GCA_002075065	SSU_1	4	Pseudomonas aeruginosa	Pseudomonas aeruginosa	PA_154197
GCA_002075105	SSU_1	6	Lactobacillus amylolyticus	Lactobacillus amylolyticus	L6
GCA_002075285	SSU_1:SSU_2	1:1	Halomicronema hongdechloris C2206	Halomicronema hongdechloris	C2206
GCA_002075795	SSU_5:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	2:1:1:1:1:1:1	Shewanella japonica	Shewanella japonica	KCTC 22435
GCA_002075815	SSU_1:SSU_2	3:1	Neisseria meningitidis	Neisseria meningitidis	COL-201504-11
GCA_002076875	SSU_5:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1	Edwardsiella ictaluri	Edwardsiella ictaluri	RUSVM-1
GCA_002076895	SSU_1:SSU_2:SSU_3	2:2:2	Colwellia beringensis	Colwellia beringensis	NB097-1
GCA_002076915	SSU_1	3	Actinomyces gaoshouyii	Actinomyces gaoshouyii	pika_114
GCA_002076935	SSU_1	6	Acinetobacter lactucae	Acinetobacter lactucae	OTEC-02
GCA_002076955	SSU_1:SSU_2:SSU_3	3:1:1	Lactobacillus rhamnosus	Lactobacillus rhamnosus	Pen
GCA_002077155	SSU_3:SSU_4:SSU_5:SSU_1:SSU_2:SSU_6	2:2:1:1:1:1	Sporosarcina sp. P33	Sporosarcina sp.	P33
GCA_002077175	SSU_1:SSU_2	5:1	Colwellia sp. PAMC 21821	Colwellia sp.	PAMC 21821
GCA_002077195	SSU_5:SSU_1:SSU_2:SSU_6:SSU_3:SSU_4	2:1:1:1:1:1	Escherichia coli	Escherichia coli	FAM21845
GCA_002077215	SSU_2:SSU_1	6:2	Bacillus safensis	Bacillus safensis	BRM1
GCA_002078255	SSU_1	7	Staphylococcus xylosus	Staphylococcus xylosus	S170
GCA_002078275	SSU_1:SSU_3:SSU_5:SSU_2:SSU_4	2:2:1:1:1	Escherichia coli	Escherichia coli	BLK9
GCA_002078295	SSU_1:SSU_3:SSU_5:SSU_2:SSU_4	2:2:1:1:1	Escherichia coli	Escherichia coli	BLK16
GCA_002078315	SSU_1	1	Rickettsia bellii	Rickettsia bellii	An04
GCA_002078335	SSU_1	1	Rickettsia amblyommatis	Rickettsia amblyommatis	An13
GCA_002078355	SSU_1	1	Ferroplasma acidiphilum	Ferroplasma acidiphilum	Y
GCA_002078375	SSU_3:SSU_1:SSU_2	3:2:1	Lactococcus lactis subsp. cremoris	Lactococcus lactis	158
GCA_002078395	SSU_2:SSU_1:SSU_3	3:1:1	Lactococcus lactis subsp. lactis	Lactococcus lactis	184
GCA_002078415	SSU_2:SSU_1:SSU_3:SSU_4	2:1:1:1	Lactococcus lactis subsp. lactis	Lactococcus lactis	229
GCA_002078435	SSU_3:SSU_1:SSU_2:SSU_4	3:1:1:1	Lactococcus lactis subsp. lactis	Lactococcus lactis	275
GCA_002078455	SSU_2:SSU_1:SSU_3	3:1:1	Lactococcus lactis subsp. lactis	Lactococcus lactis	C10
GCA_002078475	SSU_1:SSU_2	5:1	Lactococcus lactis subsp. lactis	Lactococcus lactis	UC11
